call_uuid,t0_timestamp,stt_ms,llm_ms,tts_ms,first_frame_ms,total_ms
ff8d3dfd-bd40-4cb3-a933-1157218c1d90,1789758515.7839308,3879,1203,1713,0,6796
8435538f-78e1-4399-9818-8337cdab97cb,1789759047.9319842,350,23885,10575,0,34811
8435538f-78e1-4399-9818-8337cdab97cb,1789759250.1142647,241,6102,13603,0,19945
cb9d0fb6-5b52-471e-abc6-21db00b3b805,1789770220.0130107,860,1244,1203,3308,3308
9fed50fa-369e-4930-b684-e8f504165e78,1789770525.3425503,258,821,3137,2939,4215
928eec87-cd61-4121-825e-fb2ff57a1a90,1789770542.8505461,231,962,2350,2277,3543
0766f128-ab9c-4b59-ad30-50afb84afb89,1789770577.6412163,493,818,2886,2940,4198
35312a79-e5b9-4278-96e8-5fc1134a70da,1789770675.1597464,357,1156,3496,3169,5008
26421629-855e-4f85-8821-aa0d7a6db870,1789772335.324843,1564,2104,3759,5808,7427
26421629-855e-4f85-8821-aa0d7a6db870,1789772364.8687422,295,1292,3097,3255,4685
26421629-855e-4f85-8821-aa0d7a6db870,1789772391.3013525,259,1313,3671,2854,5243
26421629-855e-4f85-8821-aa0d7a6db870,1789772412.521289,257,866,4396,2931,5519
26421629-855e-4f85-8821-aa0d7a6db870,1789772441.1403813,249,1090,3993,2795,5332
26421629-855e-4f85-8821-aa0d7a6db870,1789772466.840299,249,1262,3884,2895,5395
6c10b971-24e1-4ca3-896c-2be171071ca3,1789773196.2790976,868,2431,2775,4772,6074
6c10b971-24e1-4ca3-896c-2be171071ca3,1789773218.0493515,266,302,3553,1741,4120
6c10b971-24e1-4ca3-896c-2be171071ca3,1789773238.3800557,303,268,1137,1707,1707
6c10b971-24e1-4ca3-896c-2be171071ca3,1789773251.6387355,261,291,835,1386,1386
6c10b971-24e1-4ca3-896c-2be171071ca3,1789773262.7974553,272,337,3321,1835,3930
6c10b971-24e1-4ca3-896c-2be171071ca3,1789773286.490256,299,761,1215,2275,2276
6c10b971-24e1-4ca3-896c-2be171071ca3,1789773298.801174,235,932,2594,2617,3762
6c10b971-24e1-4ca3-896c-2be171071ca3,1789773314.7386575,239,340,1133,1712,1713
6c10b971-24e1-4ca3-896c-2be171071ca3,1789773332.457831,274,332,2244,1775,2851
6c10b971-24e1-4ca3-896c-2be171071ca3,1789773347.257234,262,328,2201,1552,2791
6c10b971-24e1-4ca3-896c-2be171071ca3,1789773362.0763373,270,405,3859,2176,4534
6c10b971-24e1-4ca3-896c-2be171071ca3,1789773379.8774593,261,345,2505,1819,3112
6c10b971-24e1-4ca3-896c-2be171071ca3,1789773392.63769,251,436,2615,2204,3302
a329170a-ca6a-4143-a48c-273e557f86a5,1789774444.042403,522,315,2674,1616,3511
a329170a-ca6a-4143-a48c-273e557f86a5,1789774463.6685898,433,356,4118,2063,4907
a329170a-ca6a-4143-a48c-273e557f86a5,1789774488.5671241,404,304,4209,2613,4916
a329170a-ca6a-4143-a48c-273e557f86a5,1789774508.4078305,425,379,2333,2052,3136
a329170a-ca6a-4143-a48c-273e557f86a5,1789774530.771158,916,346,2365,2441,3627
a329170a-ca6a-4143-a48c-273e557f86a5,1789774548.434407,451,307,2483,1509,3241
a329170a-ca6a-4143-a48c-273e557f86a5,1789774562.2494452,1438,355,5773,4421,7566
a329170a-ca6a-4143-a48c-273e557f86a5,1789774585.6506681,1823,331,2327,3195,4481
a329170a-ca6a-4143-a48c-273e557f86a5,1789774598.5533094,406,502,2508,2541,3415
a329170a-ca6a-4143-a48c-273e557f86a5,1789774615.7470813,1310,363,2624,3183,4297
a329170a-ca6a-4143-a48c-273e557f86a5,1789774629.8868983,854,389,1992,2266,3235
a329170a-ca6a-4143-a48c-273e557f86a5,1789774642.2866728,443,347,2237,1981,3027
a329170a-ca6a-4143-a48c-273e557f86a5,1789774655.9253852,342,11130,2506,12969,13978
a329170a-ca6a-4143-a48c-273e557f86a5,1789774682.609004,355,2415,3795,5687,6565
a329170a-ca6a-4143-a48c-273e557f86a5,1789774705.1443138,833,347,1916,2257,3096
a329170a-ca6a-4143-a48c-273e557f86a5,1789774720.1461189,444,1413,2020,3074,3877
a329170a-ca6a-4143-a48c-273e557f86a5,1789774737.0958724,367,3553,1821,4942,5741
6a8ae35f-d469-4430-8db4-fd4ae7258242,1789775136.8223722,447,404,2220,2016,3071
6a8ae35f-d469-4430-8db4-fd4ae7258242,1789775152.7012677,372,378,1662,1604,2412
6a8ae35f-d469-4430-8db4-fd4ae7258242,1789775169.1031473,489,417,2455,2035,3362
6a8ae35f-d469-4430-8db4-fd4ae7258242,1789775187.086001,514,392,2153,1903,3059
6a8ae35f-d469-4430-8db4-fd4ae7258242,1789775202.100777,445,423,3331,2106,4199
6a8ae35f-d469-4430-8db4-fd4ae7258242,1789775220.3196924,539,449,14075,13792,15063
6a8ae35f-d469-4430-8db4-fd4ae7258242,1789775246.3812444,349,376,2187,1683,2913
6a8ae35f-d469-4430-8db4-fd4ae7258242,1789775259.7477775,376,442,3386,1879,4204
